NORTH PETHERTON SHOVELL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8527,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.55,0.62,3.68,5.09,0.62,,1.38,1.07,,,,
February,3.60,1.63,2.23,0.72,2.21,,5.28,1.25,,,,
March,0.27,1.81,3.39,3.46,4.68,,4.16,2.94,,,,
April,2.28,1.93,0.24,2.41,1.34,,0.99,1.59,,,,
May,2.32,0.99,2.27,2.58,1.32,,3.28,2.57,,,,
June,3.36,1.56,4.10,0.88,2.60,,1.65,6.31,,,,
July,2.39,0.10,2.61,0.61,4.44,,0.82,3.02,,,,
August,4.81,1.47,6.38,1.88,2.55,,4.42,5.23,,,,
September,0.27,1.29,1.20,2.75,2.19,,2.79,1.63,,,,
October,6.00,2.46,4.38,3.48,3.18,,4.76,3.95,,,,
November,4.11,2.91,2.39,3.42,3.51,,3.48,1.04,,,,
December,4.21,6.21,3.71,2.92,5.99,,3.21,0.51,,,,
Total,37.17,22.98,36.58,30.20,34.63,,36.22,31.11,,,,
Calc annual,37.17,22.98,36.58,30.20,34.63,0.00,36.22,31.11,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,NaN,0.00,0.00,NaN,NaN,,
