"LEUSDEN VICARAGE, ASHBURTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1704/5,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,2.08,4.58,2.91,5.60,7.48,5.51,,,,,,
February,7.48,7.47,3.02,7.81,8.83,8.33,,,,,,
March,4.25,6.55,1.77,1.99,4.88,2.28,,,,,,
April,3.88,1.15,6.82,1.66,2.68,6.01,,,,,,
May,0.99,1.09,1.77,2.12,2.32,3.17,,,,,,
June,1.95,3.96,3.87,3.72,1.30,1.99,,,,,,
July,5.76,2.25,4.86,4.34,3.68,0.57,,,,,,
August,0.87,5.01,3.92,1.46,1.38,2.08,,,,,,
September,6.53,3.33,4.31,7.88,2.09,7.41,,,,,,
October,9.15,5.45,7.22,6.16,1.40,8.37,,,,,,
November,6.15,6.39,7.50,6.56,2.54,7.47,,,,,,
December,6.39,4.69,7.62,2.15,8.10,3.11,,,,,,
Total,55.48,51.92,55.59,51.45,46.68,56.30,,,,,,
Calc annual,55.48,51.92,55.59,51.45,46.68,56.30,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
