CALDER WATER ( BARYTES MINE ),,,,,,,,,,
Grid ref,NS283650,Long,-4.744116,Lat,55.847553,Elevation,1008,ft,,
Station no,5291/7/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.11,10.34,6.09,6.36,11.33,11.65,3.3,7.25
February,,,5.51,7.93,4.94,3.23,5.15,7.61,4.35,10.02
March,,,2.78,6.75,3.04,4.92,10.5,2.97,7.36,4.13
April,,,5.08,4.95,7.11,2.2,,3.79,6.89,10.39
May,,2.73,4.18,5.27,7.16,5.73,3.82,5.98,2.49,4.25
June,,6.54,2.31,8.99,6.04,6.26,3.96,4.84,5.14,5.12
July,,6.91,9.11,7.65,1.77,8.85,9.62,7.6,9.11,8.43
August,,10.4,8.06,8.91,1.92,8.49,9.13,8.61,2.8,6.25
September,,7.27,11.72,14.04,8.31,8.09,6.95,7,2.44,5.19
October,,11.45,7.65,16.99,7.08,6.09,11.21,8.15,10.73,4.98
November,,3.66,13.94,15.73,4.69,5.41,4.93,4,10.41,12.78
December,,9.26,10.29,12.77,14.19,13.77,11.41,11.3,15.3,11.97
Total,,,87.74,120.32,72.34,79.4,,83.5,80.32,90.76
,,,,,,,,,,
1957 Apr Est Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5291/7/5,,,,,,,,,
Midas,13642,,,,,,,,,
Hyd Stn,659140,,,,,,,,,
