"WEST KILBRIDE (CROSBIE RESERVOIR) N.G.",,,,,,,,,,,,
Grid ref,NS218507,Long,-4.838446,Lat,55.716868,,,,,,,
Station no,5214/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.28,1.90,3.33,,
February,,,,,,,,3.74,1.89,3.40,,
March,,,,,,,,1.45,3.09,2.68,,
April,,,,,,,,1.95,3.58,5.21,,
May,,,,,,,,3.51,1.60,2.85,,
June,,,,,,,,2.84,4.11,3.06,,
July,,,,,,,,5.25,5.59,5.10,,
August,,,,,,,,5.03,0.92,4.85,,
September,,,,,,,,4.17,1.82,3.67,,
October,,,,,,,,3.88,6.47,3.51,,
November,,,,,,,,2.30,4.86,6.44,,
December,,,,,,,,6.68,8.56,6.22,,
Total,,,,,,,,46.08,44.39,50.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.08,44.39,50.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
