"PEN-Y-MAES, NR HAY (BRECON)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4049,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,4.61,1.29,2.23,3.01,1.41,1.83,4.01,4.73,3.55,5.28,,
February,1.34,2.66,1.15,0.72,1.01,3.30,4.26,2.56,1.50,3.46,,
March,2.47,3.30,3.10,0.79,1.60,1.40,3.81,4.23,2.44,1.67,,
April,1.69,0.79,2.74,1.47,0.95,0.88,2.45,3.21,1.59,1.31,,
May,2.51,1.05,3.23,1.05,1.57,3.89,,4.14,2.12,5.30,,
June,5.68,2.23,3.44,3.01,1.40,1.45,-999.00,0.66,0.39,0.89,,
July,1.93,5.57,2.10,0.48,0.67,2.09,1.53,3.21,1.19,0.78,,
August,-999.00,1.69,2.08,2.10,0.59,4.00,3.29,1.53,5.43,0.95,,
September,,3.04,4.85,5.39,5.14,0.00,6.38,1.93,3.99,6.47,,
October,1.97,2.11,4.48,5.80,3.92,5.29,2.23,4.39,2.61,2.31,,
November,2.09,4.11,0.75,2.04,2.82,4.46,1.75,0.74,1.38,2.61,,
December,3.03,2.93,2.11,0.89,2.20,2.40,2.36,1.35,7.18,4.44,,
Total,34.52,30.77,32.26,26.75,23.28,30.99,36.65,32.68,33.37,35.47,,
Calc annual,27.32,30.77,32.26,26.75,23.28,30.99,32.07,32.68,33.37,35.47,,
Difference,7.20,0.00,-0.00,0.00,0.00,0.00,4.58,0.00,-0.00,0.00,,
