MISTERTON (SOSS PUMPING STATION) (OLD G.),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2643/2,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,1.02,2.76,2.73,1.08,3.29,,,
February,,,,,1.92,2.05,1.61,0.69,0.77,,,
March,,,,,0.38,0.77,1.36,0.20,1.41,,,
April,,,,,1.77,1.09,2.31,0.14,1.24,,,
May,,,,,0.40,0.72,3.23,2.78,1.04,,,
June,,,,,2.23,4.10,2.86,1.23,1.84,,,
July,,,,,0.51,5.12,2.22,3.59,3.38,,,
August,,,,,1.28,1.91,0.15,2.52,2.72,,,
September,,,,,2.87,1.74,0.99,1.50,1.44,,,
October,,,,,2.24,1.41,2.15,1.84,3.46,,,
November,,,,,3.76,2.25,1.21,1.49,3.70,,,
December,,,,,1.93,0.84,3.70,2.90,2.06,,,
Total,,,,,20.31,24.76,24.52,19.96,26.35,,,
Calc annual,0.00,0.00,0.00,0.00,20.31,24.76,24.52,19.96,26.35,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,,
