CARNFORTH (PRIEST HUTTON),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3034/9/8,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,3.82,7.88,2.68,2.30,,
February,,,,,,,1.19,2.55,2.91,4.22,,
March,,,,,,,5.82,3.16,1.82,2.10,,
April,,,,,,,3.68,1.83,4.78,2.46,,
May,,,,,,,3.44,1.29,2.56,1.65,,
June,,,,,,,3.39,5.74,1.20,3.70,,
July,,,,,,,4.51,2.72,4.87,4.85,,
August,,,,,,,0.21,4.39,3.06,6.51,,
September,,,,,,,4.25,6.11,1.79,,,
October,,,,,,,0.49,3.41,6.19,,,
November,,,,,,,7.05,4.12,4.02,,,
December,,,,,,,2.81,2.65,6.26,,,
Total,,,,,,,40.66,45.85,42.14,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.66,45.85,42.14,27.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,NaN,,
