TENTERDEN (ST MICHAELS),,,,,,,,,,,,
Grid ref,TQ890350,Long,0.697055,Lat,51.083181,,,,,,,
Station no,261/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.63,2.92,,
February,,,,,,,,,0.09,2.07,,
March,,,,,,,,,1.79,2.24,,
April,,,,,,,,,2.19,0.77,,
May,,,,,,,,,0.70,2.39,,
June,,,,,,,,,0.70,1.48,,
July,,,,,,,,,2.92,2.52,,
August,,,,,,,,,0.73,4.95,,
September,,,,,,,,,0.10,3.50,,
October,,,,,,,,,3.29,6.97,,
November,,,,,,,,,5.08,6.11,,
December,,,,,,,,,6.46,3.58,,
Total,,,,,,,,,25.68,39.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.68,39.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
