STOKE-UPON-TRENT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6555,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,2.70,2.27,,,,,,,,,,
February,2.25,1.33,,,,,,,,,,
March,0.35,2.55,,,,,,,,,,
April,0.91,1.40,,,,,,,,,,
May,3.40,3.23,,,,,,,,,,
June,3.30,2.57,,,,,,,,,,
July,4.06,4.91,,,,,,,,,,
August,3.72,4.97,,,,,,,,,,
September,3.84,4.90,,,,,,,,,,
October,2.28,5.35,,,,,,,,,,
November,5.21,4.35,,,,,,,,,,
December,0.38,4.22,,,,,,,,,,
Total,32.40,42.05,,,,,,,,,,
Calc annual,32.40,42.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
