FRIMLEY TOMLINSCOTE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8397,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.01,1.21,3.78,3.30,0.63,4.16,1.03,1.39,3.37,4.35,,
February,3.65,1.44,2.06,0.88,3.40,4.58,4.18,1.08,1.06,2.64,,
March,1.02,1.79,3.06,2.58,4.37,0.93,4.75,1.90,0.95,4.22,,
April,2.11,1.69,0.04,2.75,1.11,1.01,0.95,1.89,3.63,2.35,,
May,2.09,1.64,1.68,1.64,1.11,3.23,1.67,1.58,1.85,0.15,,
June,3.81,1.90,3.14,0.41,0.77,1.17,1.58,2.14,1.04,1.13,,
July,2.92,0.72,1.77,1.72,1.68,5.27,1.09,4.20,5.18,2.40,,
August,2.81,0.39,4.92,1.29,1.61,3.73,3.52,4.53,1.39,2.55,,
September,0.53,1.71,3.01,2.32,0.88,2.48,2.03,1.97,5.48,1.42,,
October,3.38,2.76,2.66,4.09,1.75,3.26,4.43,3.84,1.45,0.77,,
November,3.28,3.79,2.09,2.55,2.71,2.30,4.42,0.84,2.65,1.74,,
December,4.50,6.35,3.26,1.53,9.24,6.34,3.18,1.32,2.47,5.08,,
Total,32.11,25.39,31.47,25.06,29.26,38.46,32.53,26.68,30.52,28.80,,
Calc annual,32.11,25.39,31.47,25.06,29.26,38.46,32.83,26.68,30.52,28.80,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.30,0.00,0.00,0.00,,
