"BOTHWELL",,,,,,,,,,,,
Grid ref,NS709578,Long,-4.060826,Lat,55.796193,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.81,2.26,3.07,8.05,3.79,1.89,4.27,2.04,3.59,4.47,,
February,2.35,1.33,0.94,6.91,2.07,2.25,2.01,2.35,1.48,1.39,,
March,0.31,2.56,2.31,7.70,1.56,3.71,3.72,3.56,3.67,1.73,,
April,2.06,2.85,0.64,1.59,4.18,1.95,0.99,1.51,1.58,2.29,,
May,2.04,1.77,2.16,1.79,2.21,1.15,3.98,4.16,1.95,1.74,,
June,4.39,2.54,1.68,1.60,1.15,0.35,0.70,3.09,1.75,2.16,,
July,3.16,1.80,2.65,3.29,2.25,3.33,1.76,2.66,1.97,2.68,,
August,4.07,3.46,1.61,5.17,3.61,2.46,4.55,3.83,2.17,2.00,,
September,3.16,2.10,2.76,2.55,2.21,2.35,1.32,0.62,2.83,1.43,,
October,5.23,3.95,1.57,6.12,1.33,1.94,5.08,5.76,0.80,4.28,,
November,6.09,3.33,1.32,2.24,1.13,2.62,3.43,1.57,2.59,1.73,,
December,7.51,4.00,3.50,2.23,3.02,2.63,2.64,4.00,1.88,3.73,,
Total,45.18,31.95,24.21,49.24,28.51,26.63,34.45,35.15,26.26,29.63,,
Calc annual,45.18,31.95,24.21,49.24,28.51,26.63,34.45,35.15,26.26,29.63,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
