"WATLINGTON SWYNCOMBE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1080,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.58,1.61,4.72,3.89,1.98,4.71,1.80,2.62,0.90,2.58,,
February,2.31,1.12,1.58,1.48,2.76,1.25,2.60,0.90,1.83,4.85,,
March,1.73,1.24,2.05,2.20,0.44,0.89,3.68,1.89,0.70,0.74,,
April,0.64,3.25,1.68,0.30,1.90,1.37,2.99,2.44,2.14,2.64,,
May,1.07,0.33,2.69,1.86,1.09,1.72,0.58,2.78,3.45,3.88,,
June,0.32,2.64,2.59,1.25,1.03,2.29,2.08,1.04,2.92,5.06,,
July,1.13,3.07,3.74,2.24,1.85,5.36,0.40,3.16,0.85,3.79,,
August,1.81,1.10,1.66,2.00,1.27,1.89,2.49,1.59,6.94,6.40,,
September,2.03,4.81,0.68,3.04,4.02,1.67,5.27,1.39,1.67,3.09,,
October,2.54,1.73,3.79,2.71,2.89,5.95,1.35,1.27,2.49,0.99,,
November,1.02,0.71,3.25,2.29,2.46,3.72,3.05,4.51,3.17,0.81,,
December,3.05,1.24,5.72,0.38,0.76,0.98,5.15,2.15,2.25,0.52,,
Total,19.23,22.85,34.15,23.64,22.45,31.80,31.44,25.74,29.31,35.35,,
Calc annual,19.23,22.85,34.15,23.64,22.45,31.80,31.44,25.74,29.31,35.35,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
