BERWICK-ON-TWEED CHURCH STREET,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7479,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.21,1.35,2.25,2.92,1.08,2.22,,,,,,
February,1.79,0.80,2.22,0.58,1.07,2.92,,,,,,
March,0.59,1.94,1.30,2.75,2.92,1.47,,,,,,
April,2.27,1.10,0.06,2.56,0.73,0.64,,,,,,
May,1.78,0.84,1.83,3.15,1.14,1.30,,,,,,
June,1.28,3.72,3.73,1.67,1.90,1.32,,,,,,
July,3.01,0.73,1.76,0.64,1.33,3.09,,,,,,
August,3.34,1.20,3.72,0.83,2.32,2.12,,,,,,
September,1.31,1.67,2.52,1.57,0.76,2.44,,,,,,
October,2.91,3.07,2.64,0.94,1.70,1.13,,,,,,
November,3.61,3.23,1.62,1.40,3.70,2.20,,,,,,
December,1.97,3.61,1.54,2.11,3.96,4.20,,,,,,
Total,25.98,23.26,25.19,21.12,22.61,25.05,,,,,,
Calc annual,26.07,23.26,25.19,21.12,22.61,25.05,0.00,0.00,0.00,0.00,,
Difference,-0.09,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
