SOUTH NORWOOD HOLMESDALE ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8434,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.21,1.18,3.06,3.04,0.54,4.58,0.92,1.00,2.90,2.49,,
February,3.40,1.11,1.66,0.85,3.23,3.57,4.40,1.01,0.88,2.47,,
March,1.30,1.88,2.94,2.83,3.87,0.64,4.17,1.53,0.92,4.01,,
April,1.78,2.03,0.08,2.45,0.87,1.42,1.34,2.16,3.72,2.88,,
May,2.19,1.21,1.24,1.19,1.21,2.98,2.00,1.86,1.92,0.09,,
June,2.09,2.16,3.27,0.28,2.44,0.46,2.53,1.96,1.05,1.32,,
July,2.47,0.69,1.74,1.28,2.03,3.03,1.55,5.45,5.53,2.27,,
August,2.92,2.05,4.96,2.15,1.36,3.02,3.56,4.32,1.01,2.69,,
September,1.04,1.19,2.74,1.79,0.70,2.26,1.19,2.15,4.16,1.10,,
October,2.71,3.40,2.24,3.82,1.27,2.28,3.02,2.85,1.49,0.88,,
November,3.14,3.43,1.93,2.61,3.32,2.22,4.97,1.47,2.32,1.77,,
December,3.68,5.17,2.60,1.03,6.82,5.12,2.60,1.45,2.47,3.42,,
Total,28.93,25.50,28.46,23.32,27.66,31.58,32.25,27.21,28.37,25.39,,
Calc annual,28.93,25.50,28.46,23.32,27.66,31.58,32.25,27.21,28.37,25.39,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
