SAFFRON WALDEN (FRIENDS' SCHOOL),,,,,,,,,,,,
Grid ref,TL542375,Long,0.245546,Lat,52.014506,,,,,,,
Station no,1308/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,1.83,2.97,0.90,2.35,2.42,,,
February,,,,,1.16,0.49,2.05,2.76,0.07,,,
March,,,,,0.95,0.71,0.93,0.68,1.93,,,
April,,,,,0.36,1.21,0.08,1.00,2.32,,,
May,,,,,3.08,0.65,0.51,3.14,0.43,,,
June,,,,,3.27,1.91,1.81,5.51,0.65,,,
July,,,,2.85,0.38,2.28,2.20,5.04,3.98,,,
August,,,,3.40,0.82,4.15,2.07,2.44,0.43,,,
September,,,,1.33,1.99,1.98,2.66,3.00,,,,
October,,,,1.66,4.00,1.70,2.04,1.84,,,,
November,,,,3.47,0.62,1.26,2.08,1.64,,,,
December,,,,1.82,1.77,2.43,2.08,2.79,,,,
Total,,,,,20.23,21.74,19.41,32.19,,,,
Calc annual,0.00,0.00,0.00,14.53,20.23,21.74,19.41,32.19,12.23,0.00,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,NaN,NaN,,
