LEICESTER WESTCOTES DRIVE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7598,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.17,2.15,3.25,1.06,2.08,1.33,,,,,,
February,1.06,0.20,2.37,3.20,0.63,2.45,,,,,,
March,2.40,0.78,1.93,1.40,0.66,1.03,,,,,,
April,4.57,0.91,2.86,1.46,1.99,1.59,,,,,,
May,2.18,1.51,0.65,1.35,4.20,3.46,,,,,,
June,1.29,0.80,0.55,0.37,2.31,,,,,,,
July,3.17,0.19,4.21,3.50,3.13,,,,,,,
August,0.73,3.85,4.63,2.11,2.53,,,,,,,
September,1.68,0.76,2.07,2.41,2.39,,,,,,,
October,1.48,2.44,0.53,2.78,4.65,,,,,,,
November,0.79,1.52,0.92,1.69,2.17,,,,,,,
December,2.03,1.56,2.93,2.73,1.77,,,,,,,
Total,23.55,16.67,26.90,24.06,28.51,,,,,,,
Calc annual,23.55,16.67,26.90,24.06,28.51,9.86,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
