HALKIRK (OLGRINBEG POWER STATION),,,,,,,,,,
Grid ref,ND091527,Long,-3.5593,Lat,58.45308,Elevation,232,ft,,
Station no,5811/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.88,2.87,4.7,8.19,3.6
February,,,,,,2.03,1.82,4.67,0.69,4.54
March,,,,,,2.13,3.61,1.86,1.34,1.17
April,,,,,,2.03,1.46,1.81,2.09,2.17
May,,,,,5.04,1.97,1.82,4.49,2.44,1.2
June,,,,3.57,1.37,3.02,3.5,2.26,1.41,2.23
July,,,,4.25,,6.23,4.6,1.73,2.85,1.76
August,,,,1.86,1.23,3.92,3.86,3.26,1.85,4.52
September,,,,2.91,3.97,1.08,3.41,1.37,1.57,1.55
October,,,,5.41,6.46,3.59,2.35,3.46,3.96,3.89
November,,,,5.13,2.85,4.16,2.78,1.56,6.01,3.69
December,,,,5.81,7.9,4.42,6.77,5.23,4.33,3.04
Total,,,,,,40.46,38.85,36.4,36.73,33.36
,,,,,,,,,,
1954 -100 Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5811/7,,,,,,,,,
Midas,29,,,,,,,,,
Hyd Stn,757524,,,,,,,,,
