"MADEIRA COTTAGE, PAIGNTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8391,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.03,1.73,1.62,4.14,4.03,2.83,5.15,3.40,0.90,1.17,,
February,4.66,4.92,2.36,6.13,5.09,4.67,1.29,0.60,0.28,1.00,,
March,2.46,3.79,0.99,1.66,3.67,1.07,4.04,1.77,4.76,3.96,,
April,1.77,0.74,5.96,0.72,2.04,3.58,2.43,1.07,1.60,1.32,,
May,0.97,0.56,1.80,2.29,1.39,3.07,3.50,1.75,2.61,2.04,,
June,1.63,3.42,3.38,2.12,1.39,0.89,0.86,0.08,2.56,0.55,,
July,1.97,1.46,3.32,2.59,2.87,0.19,2.62,1.13,5.02,3.34,,
August,0.21,4.42,1.92,0.74,0.79,2.17,1.57,2.04,1.91,1.97,,
September,3.18,2.85,4.45,5.28,1.46,3.04,1.91,2.55,1.03,0.89,,
October,9.45,4.27,7.29,2.99,0.91,5.41,4.85,3.25,1.43,,,
November,3.82,5.91,4.13,4.48,1.37,4.15,2.95,3.57,9.00,,,
December,5.13,3.43,4.15,0.70,3.44,1.87,6.50,3.09,3.04,,,
Total,36.28,37.50,41.37,33.84,28.45,32.94,37.67,24.30,34.14,,,
Calc annual,36.28,37.50,41.37,33.84,28.45,32.94,37.67,24.30,34.14,16.24,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
