TANNADICE (EASTER OGIL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5603/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,-999.00,6.06,5.28,2.14,4.27,2.70,3.91,5.85,,,,
February,,2.11,1.85,0.90,3.09,1.65,3.75,3.62,,,,
March,,2.47,0.56,0.75,1.10,2.70,4.08,1.09,,,,
April,,1.60,1.62,2.80,1.39,0.35,3.14,1.32,,,,
May,,4.11,4.19,2.72,5.09,2.26,4.74,4.35,,,,
June,,1.13,2.81,2.78,3.38,4.74,2.89,3.35,,,,
July,,2.94,1.59,2.96,2.60,5.27,3.42,3.67,,,,
August,,3.73,5.14,1.53,3.69,5.62,0.10,7.88,,,,
September,,3.38,3.16,2.69,3.98,5.41,3.32,,,,,
October,,2.65,4.25,5.42,5.59,0.33,2.38,,,,,
November,-999.00,0.79,2.13,5.15,1.86,8.77,2.77,,,,,
December,1.59,4.31,1.65,2.60,5.65,4.10,1.98,,,,,
Total,-999.00,35.28,34.23,32.44,41.69,43.90,36.48,,,,,
Calc annual,1.59,35.28,34.23,32.44,41.69,43.90,36.48,31.13,0.00,0.00,,
Difference,-1000.59,0.00,-0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
