CAVERSHAM ST BENET'S HOME,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8121,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.11,1.17,4.09,3.62,0.76,3.54,,,,,,
February,3.18,1.63,2.12,0.89,2.64,3.01,,,,,,
March,0.92,1.88,3.77,2.34,4.45,1.06,,,,,,
April,2.03,1.34,0.00,2.88,0.80,0.75,,,,,,
May,1.65,2.40,1.45,2.65,1.67,3.14,,,,,,
June,5.27,1.82,3.47,0.53,1.21,1.11,,,,,,
July,1.89,0.48,1.53,0.68,1.77,4.95,,,,,,
August,2.10,1.07,4.64,0.96,2.17,2.35,,,,,,
September,0.28,1.49,2.09,2.25,0.87,3.01,,,,,,
October,3.46,2.32,2.61,4.52,2.21,3.09,,,,,,
November,3.52,3.27,1.93,2.46,2.25,2.05,,,,,,
December,4.70,6.53,3.34,1.29,6.67,5.58,,,,,,
Total,31.11,25.40,31.04,25.07,27.47,34.54,,,,,,
Calc annual,31.11,25.40,31.04,25.07,27.47,33.64,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.90,NaN,NaN,NaN,NaN,,
