"BURBAGE HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4222,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,1.32,6.15,2.97,0.69,1.83,3.26,3.69,4.10,1.63,,
February,,2.16,3.38,2.05,1.32,2.21,3.62,1.57,1.19,2.49,,
March,,1.23,2.16,4.51,2.71,1.65,3.15,4.11,0.84,2.42,,
April,,3.51,5.21,0.58,2.10,1.19,3.44,3.30,2.76,3.76,,
May,,2.29,3.20,2.97,0.82,1.37,2.23,5.57,5.97,2.56,,
June,,3.66,4.20,3.47,1.70,2.00,2.61,2.77,4.26,5.72,,
July,,3.88,6.95,2.33,0.95,6.44,1.87,3.39,1.53,4.78,,
August,,2.35,2.92,0.61,4.51,4.48,1.60,4.41,3.11,3.73,,
September,,3.56,5.29,2.46,2.13,3.01,3.67,4.65,3.75,4.78,,
October,,6.18,6.09,3.45,3.28,2.58,4.42,2.70,3.55,2.04,,
November,,1.40,3.39,3.35,6.07,7.47,3.44,2.99,4.14,0.69,,
December,,1.43,5.27,1.51,2.28,1.17,6.10,5.09,0.33,5.78,,
Total,,32.97,54.21,30.26,28.56,35.40,39.41,44.24,35.53,40.38,,
Calc annual,0.00,32.97,54.21,30.26,28.56,35.40,39.41,44.24,35.53,40.38,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
