CATHERINGTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8417,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.74,1.36,3.88,5.60,0.57,5.06,1.49,1.67,4.01,6.76,,
February,4.76,1.82,3.27,1.22,5.08,6.33,5.38,1.28,1.76,3.10,,
March,1.18,2.20,4.73,3.18,5.58,1.03,3.45,2.92,1.31,6.08,,
April,2.70,1.62,0.05,3.43,1.87,1.43,1.04,1.89,2.16,2.83,,
May,1.97,3.51,1.40,3.91,1.25,4.00,2.02,2.22,1.58,0.67,,
June,3.78,1.87,4.35,0.61,2.54,1.04,2.88,3.31,1.41,0.63,,
July,2.68,1.08,2.82,2.51,3.83,4.06,1.37,2.67,4.80,1.24,,
August,6.01,0.79,7.91,1.83,2.61,1.68,3.06,6.79,2.39,3.43,,
September,0.16,1.43,3.57,2.75,2.41,3.23,2.72,2.02,7.19,1.75,,
October,5.13,4.49,3.73,4.59,2.70,4.87,5.91,4.49,1.81,0.53,,
November,4.63,5.18,1.97,3.68,3.54,3.28,4.50,1.55,2.49,3.24,,
December,5.93,9.95,4.73,2.17,10.50,9.48,4.21,1.31,3.44,6.84,,
Total,41.67,35.30,42.41,35.48,42.48,45.49,38.03,32.12,34.35,37.10,,
Calc annual,41.67,35.30,42.41,35.48,42.48,45.49,38.03,32.12,34.35,37.10,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
