WIMBLEDON HIGHMOOR ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,151/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,100.00,1.29,2.01,1.55,1.49,3.08,1.09,,,
February,,,1.98,0.74,1.42,2.45,1.25,1.42,0.93,,,
March,,,0.30,0.07,1.07,1.31,5.10,0.66,0.95,,,
April,,,0.81,1.59,1.12,2.26,1.50,1.40,1.85,,,
May,,,1.87,0.93,2.46,3.70,1.49,2.14,1.88,,,
June,,,1.32,2.34,1.35,2.47,2.39,2.31,0.75,,,
July,,,1.50,2.66,3.06,1.50,1.34,0.92,1.83,,,
August,,,1.34,2.30,1.82,4.26,0.37,3.59,1.38,,,
September,,,1.37,2.81,1.72,2.89,1.20,0.98,0.54,,,
October,,,2.43,3.27,2.25,1.03,0.18,2.25,5.44,,,
November,,,1.08,3.59,0.24,3.32,1.28,1.92,2.41,,,
December,,,1.57,1.21,3.11,2.20,2.23,3.25,1.42,,,
Total,,,100.00,22.80,21.63,28.94,19.82,23.92,20.47,,,
Calc annual,0.00,0.00,115.57,22.80,21.63,28.94,19.82,23.92,20.47,0.00,,
Difference,NaN,NaN,-15.57,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
