BICESTER NATIONAL SCHOOL,,,,,,,,,,,,
Grid ref,SP581222,Long,-1.157077,Lat,51.895329,,,,,,,
Station no,RR8116,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.64,2.55,3.25,0.91,3.75,1.03,,,,
February,,,0.99,0.73,3.61,0.50,1.59,1.30,,,,
March,,,1.35,3.07,1.25,2.64,1.43,1.02,,,,
April,,,1.29,2.12,0.88,1.96,0.47,2.33,,,,
May,,,1.85,5.50,2.81,0.78,1.64,2.39,,,,
June,,,2.21,4.65,0.67,3.73,3.16,2.27,,,,
July,,,1.27,3.16,2.52,0.22,0.98,2.34,,,,
August,,,2.97,2.85,1.63,2.98,1.13,1.85,,,,
September,,,1.63,1.81,1.61,1.21,1.06,0.90,,,,
October,,,1.36,6.97,0.70,1.01,4.55,4.72,,,,
November,,,1.99,1.56,1.46,2.87,3.18,2.08,,,,
December,,,1.42,0.97,1.69,0.90,1.86,3.66,,,,
Total,,,18.97,35.94,22.08,19.71,24.80,25.89,,,,
Calc annual,0.00,0.00,18.97,35.94,22.08,19.71,24.80,25.89,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
