CARRICKFERGUS SCOTCH QUARTER,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7980,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,3.37,3.41,5.30,,,,,,,,,
February,2.81,3.67,4.48,,,,,,,,,
March,1.21,2.01,2.75,,,,,,,,,
April,1.83,4.12,1.68,,,,,,,,,
May,2.58,0.87,2.93,,,,,,,,,
June,1.20,1.58,5.11,,,,,,,,,
July,2.27,5.00,3.35,,,,,,,,,
August,0.57,3.97,3.71,,,,,,,,,
September,2.23,2.54,4.80,,,,,,,,,
October,8.31,2.44,4.96,,,,,,,,,
November,1.36,2.99,4.95,,,,,,,,,
December,2.96,2.45,5.98,,,,,,,,,
Total,30.70,35.05,50.00,,,,,,,,,
Calc annual,30.70,35.05,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
