"GLYNCEIRIOG (PLAS NANTHYR)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4286,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,4.86,5.52,4.96,13.50,1.30,8.00,
February,,,,,,4.42,2.60,2.43,3.01,0.73,1.08,
March,,,,,,1.22,2.17,3.35,2.42,0.30,4.15,
April,,,,,,2.66,2.47,3.21,2.14,1.65,5.69,
May,,,,,,3.92,2.67,1.86,2.12,2.72,2.50,
June,,,,,,0.03,2.31,4.40,5.26,2.43,1.21,
July,,,,,,2.33,4.65,4.17,1.71,2.65,3.97,
August,,,,,,3.91,3.51,6.17,3.88,2.43,4.24,
September,,,,,,4.19,3.41,5.32,2.10,2.03,4.81,
October,,,,,,6.32,3.44,5.35,5.46,6.23,7.02,
November,,,,,,3.31,2.45,3.93,7.58,8.50,5.69,
December,,,,,,4.92,9.87,2.52,7.79,8.49,5.90,
Total,,,,,,42.09,45.07,47.67,56.97,39.46,54.26,
Calc annual,0.00,0.00,0.00,0.00,0.00,42.09,45.07,47.67,56.97,39.46,54.26,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,
