DUNBLANE (LYNEDOCH),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5527/1,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,5.08,2.99,5.10,5.17,6.82,3.79,2.91,,
February,,,,1.72,6.03,3.10,1.96,4.34,3.90,4.01,,
March,,,,0.36,2.54,3.02,4.95,3.19,1.45,2.56,,
April,,,,2.87,1.82,0.87,5.59,2.88,2.77,3.06,,
May,,,,2.78,5.27,1.58,3.55,2.17,2.08,1.14,,
June,,,,3.53,3.39,3.11,4.09,4.66,1.13,2.12,,
July,,,,3.11,4.28,3.71,4.33,3.40,2.01,5.43,,
August,,,6.02,2.50,3.72,3.84,0.03,7.47,4.50,5.51,,
September,,,3.13,3.28,5.69,6.55,4.18,5.32,1.32,8.93,,
October,,,7.45,4.30,4.86,0.68,2.20,5.57,6.21,3.65,,
November,,,2.01,7.13,0.38,6.07,4.54,2.45,3.30,3.14,,
December,,,2.14,5.17,3.79,4.25,2.15,6.17,6.31,1.62,,
Total,,,,41.83,44.76,41.88,42.74,54.44,38.77,44.08,,
Calc annual,0.00,0.00,20.75,41.83,44.76,41.88,42.74,54.44,38.77,44.08,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
