GLOUCESTER (HEMPSTED),,,,,,,,,,,,
Grid ref,SO812157,Long,-2.274273,Lat,51.839585,,,,,,,
Station no,2167/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.25,3.88,,
February,,,,,,,,,0.15,2.39,,
March,,,,,,,,,2.75,1.40,,
April,,,,,,,,,2.78,1.04,,
May,,,,,,,,,1.23,1.51,,
June,,,,,,,,,2.99,2.17,,
July,,,,,,,,,1.89,2.74,,
August,,,,,,,,,2.31,2.88,,
September,,,,,,,,,0.11,3.79,,
October,,,,,,,,,1.76,5.84,,
November,,,,,,,,,3.41,4.75,,
December,,,,,,,,,5.20,2.47,,
Total,,,,,,,,,29.83,34.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.83,34.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
