TAUNTON ASHLEIGH,,,,,,,,,,,,
Grid ref,ST221254,Long,-3.112066,Lat,51.022673,,,,,,,
Station no,RR8480,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.21,2.22,1.29,3.47,3.11,0.74,4.27,1.16,0.76,,,
February,3.82,0.92,1.28,1.74,4.69,0.84,2.35,1.11,1.72,,,
March,1.57,2.26,1.62,3.50,1.99,3.95,1.27,0.68,2.71,,,
April,0.95,2.25,1.16,1.96,0.75,2.06,1.01,4.07,1.95,,,
May,2.02,0.71,2.16,2.19,1.76,0.17,2.78,2.54,1.48,,,
June,2.75,1.64,2.50,2.66,0.72,3.42,2.12,1.21,0.26,,,
July,1.02,2.26,1.93,1.82,3.57,0.40,0.50,1.91,1.38,,,
August,1.86,1.52,2.92,2.78,2.54,3.94,1.20,1.60,2.42,,,
September,0.43,2.28,2.62,3.68,1.47,1.23,0.49,0.39,2.54,,,
October,3.01,2.04,2.10,6.04,1.03,1.69,3.87,6.46,3.44,,,
November,3.56,1.22,3.43,1.46,1.65,2.92,3.54,2.52,1.11,,,
December,4.40,5.66,2.06,3.27,2.07,0.60,1.63,4.31,2.51,,,
Total,29.60,24.98,25.07,34.57,25.35,21.96,25.03,27.96,22.28,,,
Calc annual,29.60,24.98,25.07,34.57,25.35,21.96,25.03,27.96,22.28,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
