"PORTREE ISLE OF SKYE NO 1 PRISON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5758,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,9.05,13.15,13.50,20.14,11.38,11.32,19.17,7.82,12.82,,,
February,11.05,15.43,5.29,15.19,8.74,5.68,10.90,8.78,20.17,,,
March,11.75,20.35,3.10,7.02,7.22,4.78,6.40,2.62,12.62,,,
April,5.20,0.78,7.19,10.81,4.68,2.94,3.80,10.02,5.61,,,
May,5.56,5.04,7.77,6.50,3.73,5.32,1.95,3.08,6.48,,,
June,3.96,3.14,6.06,5.18,7.42,2.90,2.78,5.66,8.43,,,
July,2.77,9.97,10.07,2.84,4.66,6.13,3.90,3.07,3.13,,,
August,4.15,15.21,4.64,10.36,3.98,6.35,7.84,6.32,11.21,,,
September,8.20,12.85,8.35,13.76,12.66,8.77,9.11,7.77,4.44,,,
October,17.86,8.51,18.82,8.72,4.82,5.97,7.78,9.68,14.20,,,
November,2.86,22.16,9.22,15.94,5.48,7.23,8.10,3.57,6.02,,,
December,5.58,12.45,17.18,32.43,14.77,11.36,15.44,10.36,15.04,,,
Total,87.99,139.04,111.19,148.89,89.54,78.75,97.17,78.75,120.17,,,
Calc annual,87.99,139.04,111.19,148.89,89.54,78.75,97.17,78.75,120.17,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
