"BRIDGNORTH HOOKFIELD HOUSE",,,,,,,,,,,,
Grid ref,SO708928,Long,-2.431886,Lat,52.532277,,,,,,,
Station no,RR4660,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.90,1.66,1.19,2.52,2.51,0.76,3.30,1.32,0.85,1.11,,
February,3.68,1.38,1.29,1.69,3.54,0.90,1.60,1.32,1.19,0.67,,
March,0.80,2.09,1.16,4.13,1.61,3.16,1.03,0.80,2.87,2.68,,
April,1.01,1.76,2.17,1.60,1.28,1.86,1.90,2.19,2.87,1.98,,
May,2.04,1.06,2.73,3.38,2.59,0.61,2.51,2.72,2.52,1.03,,
June,2.34,3.09,2.50,1.41,0.66,3.15,2.21,2.94,2.81,3.76,,
July,1.62,2.32,1.18,2.07,1.88,1.96,1.04,2.45,2.09,3.21,,
August,3.46,2.13,5.37,5.11,2.56,4.92,1.27,3.03,3.48,1.91,,
September,0.82,1.13,1.63,3.83,1.81,1.36,1.05,0.66,1.94,2.77,,
October,3.21,1.91,2.59,5.63,0.68,1.28,4.14,5.54,2.08,3.42,,
November,2.20,1.22,2.48,1.55,1.20,2.82,2.70,2.49,1.89,0.68,,
December,4.24,3.63,1.72,2.14,1.82,0.66,1.98,2.84,2.72,4.05,,
Total,28.32,23.38,26.01,35.06,22.14,23.44,24.73,28.30,27.31,27.27,,
Calc annual,28.32,23.38,26.01,35.06,22.14,23.44,24.73,28.30,27.31,27.27,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
