"ST. ABBS, NORTHFIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7380,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,1.24,1.43,1.84,1.09,1.97,1.40,,,,,
February,,0.75,2.18,0.60,1.13,3.01,2.34,,,,,
March,,1.56,1.65,2.73,2.78,1.60,1.35,,,,,
April,,0.95,0.00,2.34,0.54,0.38,2.27,,,,,
May,,0.58,1.38,2.67,1.04,0.97,3.12,,,,,
June,,3.14,3.23,1.19,1.56,1.78,3.11,,,,,
July,,0.91,1.62,0.65,1.61,3.82,4.30,,,,,
August,,0.88,4.13,1.26,2.49,3.00,3.65,,,,,
September,,1.55,2.73,1.67,0.91,2.19,1.78,,,,,
October,,2.74,2.25,0.89,1.35,1.49,3.43,,,,,
November,,3.66,1.69,1.50,2.84,1.83,2.92,,,,,
December,,3.86,1.44,2.06,3.14,4.16,2.31,,,,,
Total,,21.82,23.73,19.40,20.48,26.20,31.98,,,,,
Calc annual,0.00,21.82,23.73,19.40,20.48,26.20,31.98,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
