"NESTON OAKHILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1081,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,0.53,2.53,2.86,2.98,1.17,3.19,,,,,
February,,3.12,1.74,1.72,2.21,2.03,0.94,,,,,
March,,3.09,1.75,1.08,2.24,0.97,2.25,,,,,
April,,0.79,3.66,0.74,1.07,1.88,1.37,,,,,
May,,2.32,1.10,1.31,0.90,1.51,5.71,,,,,
June,,2.18,3.22,2.30,1.16,1.78,1.15,,,,,
July,,1.49,2.42,2.29,3.29,1.37,,,,,,
August,,4.11,2.00,1.96,1.70,1.11,,,,,,
September,,1.56,2.03,5.01,1.80,3.28,,,,,,
October,,3.15,1.91,4.34,1.53,6.01,,,,,,
November,,2.25,4.05,2.75,2.15,2.72,,,,,,
December,,2.43,4.07,1.51,2.08,1.09,,,,,,
Total,,27.02,30.48,27.87,23.11,24.92,,,,,,
Calc annual,0.00,27.02,30.48,27.87,23.11,24.92,14.61,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
