COCKERMOUTH (LOWESWATER),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3638/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,11.31,8.63,11.33,3.68,6.58,8.55,8.05,6.68,2.10,,
February,,0.11,6.64,0.60,9.35,3.38,7.44,2.72,9.38,1.69,,
March,,4.53,4.55,3.38,1.40,3.22,2.21,4.78,5.05,7.23,,
April,,4.87,2.36,5.01,4.91,1.09,4.01,0.79,3.58,2.57,,
May,,3.54,2.95,6.10,0.99,1.66,1.55,5.80,0.74,1.74,,
June,,2.41,2.88,3.24,3.85,4.79,3.41,8.41,5.08,1.44,,
July,,6.51,5.18,1.75,2.73,7.04,3.68,10.22,7.48,6.72,,
August,,2.91,4.35,8.08,4.25,2.75,3.44,3.92,3.01,3.48,,
September,,7.70,0.93,7.56,9.27,6.61,6.49,4.17,3.46,6.80,,
October,,9.59,4.81,10.08,9.53,6.38,3.92,15.50,2.19,6.90,,
November,11.86,4.77,2.24,1.86,6.32,6.96,1.43,10.93,9.81,8.00,,
December,6.72,13.14,0.86,8.96,2.93,10.42,3.57,5.19,3.06,7.20,,
Total,,71.39,46.38,67.95,59.21,60.88,49.70,80.48,59.52,55.87,,
Calc annual,18.58,71.39,46.38,67.95,59.21,60.88,49.70,80.48,59.52,55.87,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
